|  x3   |  x2   |  x1   |  x0   |  s1   |  s0   |  en   |
|   1   |   0   |   0   |   0   |   1   |   1   |   1   |
|   0   |   1   |   0   |   0   |   1   |   0   |   1   |
|   1   |   1   |   0   |   0   |   1   |   1   |   1   |
|   0   |   0   |   1   |   0   |   0   |   1   |   1   |
|   1   |   0   |   1   |   0   |   1   |   1   |   1   |
|   0   |   1   |   1   |   0   |   1   |   0   |   1   |
|   1   |   1   |   1   |   0   |   1   |   1   |   1   |
|   0   |   0   |   0   |   1   |   0   |   0   |   1   |
|   1   |   0   |   0   |   1   |   1   |   1   |   1   |
|   0   |   1   |   0   |   1   |   1   |   0   |   1   |
|   0   |   0   |   1   |   1   |   0   |   1   |   1   |
|   1   |   1   |   0   |   1   |   1   |   1   |   1   |
|   0   |   1   |   1   |   1   |   1   |   0   |   1   |
|   1   |   0   |   1   |   1   |   1   |   1   |   1   |
|   1   |   1   |   1   |   1   |   1   |   1   |   1   |
|   0   |   0   |   0   |   0   |   0   |   0   |   0   |
