|        x         |        y         | oper  |       sum        |  cy   |  of   |
| 1010101010101010 | 0101010101010101 |   0   | 1111111111111111 |   0   |   0   |
| 1000000000000001 | 1111111111011111 |   0   | 0111111111100000 |   1   |   1   |
| 0011110011000011 | 0000111111110000 |   1   | 0010110011010011 |   1   |   0   |
| 0001001000110100 | 0101100001110110 |   0   | 0110101010101010 |   0   |   0   |
| 0111001000110100 | 0101100101110110 |   0   | 1100101110101010 |   0   |   1   |
| 1111001000110100 | 1101100101110110 |   0   | 1100101110101010 |   1   |   0   |
| 1011001000110100 | 1001100101110110 |   0   | 0100101110101010 |   1   |   1   |
| 0011001000110100 | 1101100101110110 |   0   | 0000101110101010 |   1   |   0   |
| 0011001000110100 | 1101100101110110 |   1   | 0101100010111110 |   0   |   0   |
| 0111011001110100 | 1001100101010110 |   1   | 1101110100011110 |   0   |   1   |
| 1010101010101010 | 0101010101010101 |   0   | 1111111111111111 |   0   |   0   |
| 1000000000000001 | 1111111111011111 |   0   | 0111111111100000 |   1   |   1   |
| 0011110011000011 | 0000111111110000 |   1   | 0010110011010011 |   1   |   0   |
| 0001001000110100 | 0101100001110110 |   0   | 0110101010101010 |   0   |   0   |
| 0111001000110100 | 0101100101110110 |   0   | 1100101110101010 |   0   |   0   |
| 1111001000110100 | 1101100101110110 |   0   | 1100101110101010 |   1   |   1   |
| 1011001000110100 | 1001100101110110 |   0   | 0100101110101010 |   1   |   1   |
| 0011001000110100 | 1101100101110110 |   0   | 0000101110101010 |   1   |   1   |
| 0011001000110100 | 1101100101110110 |   1   | 0101100010111110 |   0   |   1   |
| 0111011001110100 | 1001100101010110 |   1   | 1101110100011110 |   0   |   1   |
