|    x     |    y     |signed | opcode  |   out    |  of   |  eq   |
| 10101010 | 10101010 |   0   |   000   | 00000000 |   0   |   1   |
| 10101011 | 10111010 |   0   |   001   | 10101010 |   0   |   0   |
| 10101010 | 10111011 |   0   |   010   | 10111011 |   0   |   0   |
| 10101010 | 10111011 |   0   |   011   | 00010001 |   0   |   0   |
| 01110000 | 00001111 |   0   |   100   | 01111111 |   0   |   0   |
| 01110000 | 10101111 |   0   |   100   | 00011111 |   1   |   0   |
| 00111110 | 01000110 |   1   |   100   | 10000100 |   1   |   0   |
| 01111110 | 01001111 |   1   |   100   | 11001101 |   1   |   0   |
| 11111000 | 11001001 |   1   |   100   | 11000001 |   0   |   0   |
| 10100010 | 10111111 |   1   |   100   | 01100001 |   1   |   0   |
| 01110100 | 11010011 |   1   |   100   | 01000111 |   0   |   0   |
| 01110000 | 00001111 |   0   |   101   | 01100001 |   0   |   0   |
| 00111000 | 01000111 |   0   |   101   | 11110001 |   1   |   0   |
| 00111110 | 01000110 |   1   |   101   | 11111000 |   0   |   0   |
| 01111110 | 01001111 |   1   |   101   | 00101111 |   0   |   0   |
| 11111000 | 11001001 |   1   |   101   | 00101111 |   0   |   0   |
| 10100010 | 10111111 |   1   |   101   | 11100011 |   0   |   0   |
| 01110100 | 11010011 |   1   |   101   | 10100001 |   1   |   0   |
| 00001111 | 00001111 |   0   |   110   | 11100001 |   0   |   1   |
| 00010010 | 00011111 |   0   |   110   | 00101110 |   1   |   0   |
| 00001011 | 00000100 |   0   |   110   | 00101100 |   0   |   0   |
| 00000101 | 00001111 |   1   |   111   | 01001011 |   0   |   0   |
| 00000000 | 11100000 |   1   |   111   | 00000000 |   0   |   0   |
| 11111110 | 00010001 |   1   |   111   | 11011110 |   0   |   0   |
| 11110111 | 11111101 |   1   |   111   | 00011011 |   0   |   0   |
| 01010101 | 01111111 |   1   |   111   | 00101011 |   1   |   0   |
| 11010101 | 11111000 |   1   |   111   | 01011000 |   1   |   0   |
